Unit;Cost;Attack;Defense;Move;Unit Characteristics
Minor Industrial Complexes ;12;;;;"Factories: Industrial complexes are the point of entry for all purchased air, land, and sea units. There are two types of industrial complexes, major and minor. Major industrial complexes have a “10” printed on them. Each of these major industrial complexes can produce up to 10 combat (land, air, or sea) units per turn. Minor industrial complexes can produce up to 3 combat units per turn. They have a “3” printed on them. A minor industrial complex can be upgraded to a major one at a cost of 20 IPCs. The industrial complex to be upgraded must be located on an originally controlled (not captured) territory that you have controlled since the beginning of your turn and that has an IPC value of 3 or higher. You can’t place your new units at an industrial complex owned by a friendly power. Even if you liberate a territory with an industrial complex in it, you can’t use the complex; the original controller can use it on his or her next turn. If you capture it, you can use it on your next turn. You can use an industrial complex that you controlled at the beginning of your turn. Subject to Damage: For each damage marker that is under an industrial complex (see above), that complex can mobilize 1 less unit. Industrial complexes can have at least as many damage markers as they have production ability. In such a case, no new units can enter the game through that complex until it’s repaired. A damaged minor complex may not be upgraded, so any damage on the industrial complex must be repaired at the same time that the upgrade is purchased."
Major Industrial Complexes ;30;;;;"Factories: Industrial complexes are the point of entry for all purchased air, land, and sea units. There are two types of industrial complexes, major and minor. Major industrial complexes have a “10” printed on them. Each of these major industrial complexes can produce up to 10 combat (land, air, or sea) units per turn. Minor industrial complexes can produce up to 3 combat units per turn. They have a “3” printed on them. A minor industrial complex can be upgraded to a major one at a cost of 20 IPCs. The industrial complex to be upgraded must be located on an originally controlled (not captured) territory that you have controlled since the beginning of your turn and that has an IPC value of 3 or higher. You can’t place your new units at an industrial complex owned by a friendly power. Even if you liberate a territory with an industrial complex in it, you can’t use the complex; the original controller can use it on his or her next turn. If you capture it, you can use it on your next turn. You can use an industrial complex that you controlled at the beginning of your turn. Subject to Damage: For each damage marker that is under an industrial complex (see above), that complex can mobilize 1 less unit. Industrial complexes can have at least as many damage markers as they have production ability. In such a case, no new units can enter the game through that complex until it’s repaired. A damaged minor complex may not be upgraded, so any damage on the industrial complex must be repaired at the same time that the upgrade is purchased."
Air bases;15;;;;Increased Air Unit Range: When taking off from a friendly territory that has an operative air base, air units gain 1 additional point of movement range. At that point f ighters and tactical bombers can move 5 spaces, and strategic bombers can move 7 spaces. Note: Air units on carriers in a sea zone adjacent to a territory containing an air base don’t benefit from this additional movement range. Scramble: You can move air units defending on an island or coastal territory that has an operative air base to the sea zones adjacent to that territory to participate in the defense of those sea zones. See “Scramble,” page 16, for more details. Subject to Damage: An air base is considered to be inoperative if it has 3 or more damage points. It can’t increase air unit range or allow air units to scramble.
Naval bases;15;;;;Services Sea Zones: All sea zones that border a territory containing an operative naval base are considered to be serviced by that naval base. Sea zones serviced by a naval base confer the benefits of that base onto all friendly sea units in those zones. Increased Sea Unit Range: All sea units beginning their movement from a sea zone serviced by an operative friendly naval base gain 1 additional point of movement range. Sea units in this position can move 3 spaces instead of 2. Repairs: Capital ships (aircraft carriers and battleships) can be repaired by moving those units to a sea zone serviced by an operative controlled or friendly naval base. Damaged ships are repaired at no IPC cost during the Purchase and Repair Units phase of their owning player’s turn if they are in a sea zone serviced by an operative friendly naval base, including one repaired in the current turn. 28 Subject to Damage: A naval base is considered to be inoperative if it has 3 or more damage points. It can’t service sea zones, increase sea unit range, or conduct repairs.
Infantry;3;1 (2 when supported by artillery);2;1;Supported by Artillery: When an infantry attacks along with an artillery, the infantry’s attack increases to 2. Each infantry must be matched one-for-one with a supporting artillery unit. If your infantry outnumber your artillery, the excess infantry units still have an attack of 1. For example, if you attack with 2 artillery and 5 infantry, 2 of your infantry have an attack of 2 and the rest have an attack of 1. Infantry are not supported by artillery on defense
Artillery;4;2;2;1;Supports Infantry and Mechanized Infantry: When an infantry or mechanized infantry attacks along with an artillery its attack increases to 2. Each infantry and/or mechanized infantry must be matched one-for-one with a supporting artillery unit. Artillery doesn't support infantry or mechanized infantry on defense.
Mechanized infantry;4;1 (2 when supported by artillery);2;2;Blitz: A mechanized infantry unit must normally stop when it enters an enemy controlled territory. However, when paired one-for-one with a tank, it can make a blitz movement (see "Tanks," page 29) along with that tank. The movement of both units must start and end in the same territories. Supported by Artillery: When mechanized infantry attacks along with an artillery, the mechanized infantry's attack increases to 2. Each mechanized infantry must be matched one-for-one with a supporting artillery unit. If your mechanized infantry outnumber your artillery, the excess mechanized infantry units still have an attack of 1. For example, if you attack with 2 artillery and 5 mechanized infantry, 2 of your mechanized infantry have an attack of 2 and the rest have an attack of 1. Mechanized infantry are not supported by artillery on
Tanks;6;3;3;2;Blitz: Tanks can “blitz” by moving through an unoccupied hostile territory as the first part of a 2-space move that can end in a friendly or hostile territory. This complete move must occur during the Combat Move phase. By blitzing, the tank establishes control of the first territory before it moves to the next. The second territory can be friendly or hostile, or even the space the tank came from. A tank may not blitz through a territory that contains an enemy unit, even if the unit is an AAA (antiaircraft artillery), industrial complex, air base, or naval base. Combined Arms: Tanks can be combined with tactical bombers or mechanized infantry. • Combining a tank and a tactical bomber increases the tactical bomber’s attack number from 3 to 4 (see “Tactical Bombers,” page 30). • Each mechanized infantry unit combined with a tank can blitz along with it (see “Mechanized Infantry,” above).
AAA (Antiaircraft Artillery);5;-;-;1 (noncombat only);Limited Move: Normally this unit can be moved only during the Noncombat Move phase. An AAA unit cannot move during the Combat Move phase (other than being carried on a transport if the unit was loaded on a prior turn). No Combat Value: Even though an AAA unit can defend, either alone or with other units, it has a combat value of 0. This means that an AAA unit cannot fire in the defending units fire step. It can, however, be taken as a casualty. If a territory containing AAA units and no combat units is attacked, the AAA units are automatically destroyed. AAA units may never attack. Air Defense: An AAA unit can fire at an air unit only when that unit attacks land and/or air units in the territory containing that AAA unit. AAA units fire only once, before the first round of combat. Each AAA unit in the territory may fire up to 3 shots, but each attacking air unit may be fired upon only once. In other words, the total number of air defense dice rolled is 3 times the number of AAA units, or the number of attacking air units, whichever is the lesser. For example, 5 fighters attacking a territory containing 2 AAA units would have 5 shots f ired against them while those same 5 fighters would have only 3 shots fired against them if there were only 1 defending AAA unit. Once the number of air defense dice is determined, the dice are rolled. For each “1” rolled, the attacker must choose 1 air unit as a casualty. These casualties are removed immediately and will not participate in the remainder of the battle. This AAA fire occurs immediately before normal combat occurs in the territory containing the AAA unit. AAA units do not defend facilities against strategic or tactical bombing. Facilities have their own built-in air defenses (see “Industrial Complexes and Bases (Facilities),” page 27)
Fighters;10;3;4;;Carrier Operations: Fighters can land on and take off from a carrier. (See “Aircraft Carriers,” page 31.) Fighter Escorts and Interceptors: Fighters can participate in strategic and tactical bombing raids as escorts or interceptors. Any or all defending fighters based in a territory that is about to be bombed can participate in the defense of the industrial complex and/or bases that are targeted. Escort fighters (those accompanying the bombers) can escort and protect the bombers, and they can originate from any territory or sea zone, range permitting. (See “Strategic and Tactical Bombing Raids,” page 16.)
